"","Characteristic_Path_Length","Graph_efficiency","N_Nodes","N_edges","CourseType"
"1",2.04303560761499,0.520911790423257,278,3244,0
"2",1.7833746898263,0.608478081058726,156,2625,0
"3",1.61554548623214,0.692227256883932,152,4412,1
"4",6.0941000746826,0.0950870170088507,83,64,0
"5",1.68604651162791,0.658386187455955,44,301,0
"6",2.62412524348893,0.416612558016497,167,691,1
"7",1.74526967285588,0.62736516357206,261,8643,1
"8",5.24139280125196,0.206245770169821,79,88,0
"9",1.82308215760105,0.588458921199474,470,19499,1
"10",1.88336783988958,0.56224773616078,253,4094,0
"11",1.73503977862331,0.632480110688343,295,11490,1
"12",1.61932102984735,0.690339485076327,210,8354,1
"13",2.30077922077922,0.474080086580087,176,1116,0
"14",1.60892388451444,0.695538057742782,127,3129,1
"15",3.57052421869909,0.298278447863508,467,1426,0
"16",1.67399267399267,0.663114663114663,78,980,1
"17",1.53826382244236,0.730868088778822,327,24611,0
"18",1.53390151515152,0.733049242424242,385,34454,0
"19",1.60367762128326,0.698161189358372,72,1013,1
"20",5.00421428735027,0.205800453794503,310,486,0
"21",1.65392955517787,0.673035222411065,453,35430,1
"22",1.87557307333264,0.563748573799398,311,6220,0
"23",1.54830330959363,0.725848345203184,155,5391,0
"24",1.56361247947455,0.718193760262726,175,6644,0
"25",1.77341680914546,0.613291595427269,489,27035,1
"26",2.79541843971631,0.383416075650118,376,1918,1
"27",2.05579472656473,0.513775488841435,419,6062,1
"28",1.74778713298791,0.626106433506045,193,4673,0
"29",1.65380735594677,0.673096322026613,478,39467,0
"30",1.71278378025903,0.643608109870487,447,28630,0
"31",1.66612111292962,0.666939443535188,235,9180,1
"32",2.14935569011023,0.510324483775811,114,680,0
"33",1.79471457913896,0.602642710430521,444,20189,1
"34",1.61535657325131,0.692321713374345,210,8441,1
"35",1.50332821300563,0.748335893497184,63,970,0
"36",1.68047825190682,0.659760874046588,99,1550,0
"37",1.64754856614246,0.67622571692877,47,381,0
"38",1.59735458340109,0.701322708299452,430,37138,0
"39",1.69708459723627,0.651457701381867,345,17975,0
"40",1.8835231326883,0.558714121262285,459,12393,0
"41",1.79283887468031,0.611253196930946,69,540,1
"42",2.14601175332354,0.494656358619701,473,6360,0
"43",1.57951698731068,0.710241506344658,350,25681,0
"44",10.1863138198343,0.0203705328634066,248,124,0
"45",2.38628835584028,0.45189822735049,332,2679,0
"46",2.06754966887417,0.523767476085357,151,1190,1
"47",3.88348462267985,0.292179636082075,123,220,0
"48",1.75922865013774,0.620523415977961,121,1751,1
"49",1.57102118159134,0.71448940920433,327,22865,0
"50",1.80924412665986,0.600740551583248,89,810,1
"51",1.54847848307056,0.725760758464721,499,56102,0
"52",1.90415729615113,0.551266893700872,395,8239,1
"53",1.6020942408377,0.698952879581152,191,7220,0
"54",2.02984039539745,0.518345412751437,453,7162,1
"55",1.50217864923747,0.748910675381264,136,4570,0
"56",1.78456889245729,0.607715553771355,424,19319,0
"57",1.71804231011279,0.640978844943603,455,29122,1
"58",1.60565134099617,0.697174329501916,145,4117,1
"59",1.50305474583716,0.74847262708142,317,24890,1
"60",1.59028138171968,0.704859309140159,398,32369,1
"61",1.57296590566227,0.713517047168862,489,50952,0
"62",1.84016064257028,0.582183278568821,166,2282,0
"63",4.60960158195401,0.233761485937659,336,614,1
"64",1.82062654838967,0.589686725805163,388,13467,1
"65",1.61939650493867,0.690301747530663,333,21039,1
"66",1.79335531681027,0.603322341594866,238,5828,0
"67",1.80187058061245,0.599064709693777,462,21099,0
"68",1.95434719395173,0.537870556006183,362,5932,1
"69",1.5754853076439,0.712257346178051,455,43846,0
"70",1.85030728709394,0.592259291776412,68,460,0
"71",1.9068005538607,0.54986059671361,422,9148,1
"72",1.83036381514258,0.585158964274008,226,4339,1
"73",1.75334029227557,0.623329853862213,480,28356,0
"74",2.56935098762752,0.42096492656103,272,1558,0
"75",4.1771438450899,0.247264680958705,251,470,0
"76",1.79830627903335,0.600846860483324,392,15457,1
"77",1.73539074166252,0.632304629168741,246,7974,1
"78",1.89218016026527,0.557115225200332,330,6375,0
"79",1.66210826210826,0.668945868945869,325,17790,1
"80",1.53042280512636,0.734788597436819,484,54887,0
"81",1.51823028566882,0.740884857165592,355,30272,1
"82",1.69863740208877,0.650681298955614,384,22161,1
"83",1.93732981441917,0.548385069749906,219,2717,1
"84",1.6359097901489,0.682045104925551,263,12544,0
"85",1.7042751206888,0.647862439655602,284,11884,1
"86",1.55098271371063,0.724508643144684,206,9481,1
"87",1.7550484105411,0.622475794729451,494,29828,0
"88",1.62078300421871,0.689608497890643,382,27596,0
"89",1.61905173407075,0.690474132964627,264,13225,1
"90",1.74327628361858,0.628361858190709,410,21525,0
"91",1.87659919473417,0.562350844887845,382,9122,0
"92",1.54715189873418,0.726424050632911,80,1431,0
"93",2.08851298190401,0.521745781973949,124,835,1
"94",2.09659863945578,0.511144295116421,246,2463,0
"95",1.68225108225108,0.658874458874459,385,23488,1
"96",1.74407133371277,0.627964333143616,252,8094,0
"97",1.50233426704015,0.748832866479925,154,5863,1
"98",1.64388431558243,0.678057842208786,371,24442,1
"99",1.71448814343551,0.642755928282244,456,29619,1
"100",2.08834204413473,0.51098125564589,288,3187,1
