ID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,SurveyID,ExternalReference,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,as.character(Q5)
4386,2020-07-30T16:42:27Z,2020-07-30T16:47:47Z,IP Address,100,320,TRUE,2020-07-30T16:47:47Z,R_12xxYQm8GLT6Dgt,NA,email,EN,morning person.,Brownies,"Coffee,Tea,Water,Milk",324,200,324
5341,2020-07-30T17:09:26Z,2020-07-30T17:12:38Z,IP Address,100,191,TRUE,2020-07-30T17:12:38Z,R_3KZUGc1SE2ehOpw,NA,email,EN,night owl.,Brown Butter Chocolate Chip Cookies,"Coffee,Water",217,250,217
3291,2020-07-30T12:51:15Z,2020-07-30T19:50:14Z,IP Address,100,25138,TRUE,2020-07-30T19:50:14Z,R_2uTEwcdjrjGklN4,NA,email,EN,morning person.,Ice Cream,"Coffee,Tea,Water",200,300,200
4512,2020-07-31T10:11:20Z,2020-07-31T10:16:00Z,IP Address,100,280,TRUE,2020-07-31T10:16:00Z,R_5on8iuZmxVb38rf,NA,email,EN,night owl.,Brownies,"Coffee,Tea,Water,Fizzy Water,Milk,The tears of my enemies",10,152,10
7410,2020-07-31T10:43:21Z,2020-07-31T10:55:49Z,IP Address,100,747,TRUE,2020-07-31T10:55:50Z,R_2U0cf1rdeqLbnhY,NA,email,EN,morning person.,Ice Cream,"Coffee,Water,Fizzy Water,Milk",407,90,407
4071,2020-07-31T13:54:15Z,2020-07-31T15:00:51Z,IP Address,100,3996,TRUE,2020-07-31T15:00:51Z,R_3KqHKoc71gGPjZr,NA,email,EN,night owl.,Ice Cream,"Coffee,Tea,Water",142,50,142
6178,2020-07-31T16:06:25Z,2020-07-31T16:10:16Z,IP Address,100,230,TRUE,2020-07-31T16:10:16Z,R_3MEcKosyeNGXtkd,NA,email,EN,night owl.,Cheese,"Fruit Juice,Water,Milk",400,150,400
5743,2020-07-31T20:02:54Z,2020-07-31T20:08:50Z,IP Address,100,356,TRUE,2020-07-31T20:08:51Z,R_zYBq31qnpdXfwDD,NA,email,EN,morning person.,Brownies,"Coffee,Tea,Water,Fizzy Water,A delicious 12 year single malt scotch from the Scottish lowlands with notes of apple, cinnamon, and dried fruit served with a single ice cube,The tears of my enemies",300,250,300
1386,2020-07-31T22:20:57Z,2020-07-31T22:23:14Z,IP Address,100,136,TRUE,2020-07-31T22:23:14Z,R_334mR0HDYdbfs36,NA,email,EN,night owl.,Ice Cream,"Fruit Juice,Coffee,Water,Milk",500,1500,500
8863,2020-08-02T23:51:28Z,2020-08-02T23:53:51Z,IP Address,100,142,TRUE,2020-08-02T23:53:51Z,R_3lzDKM88cqP82Tk,NA,email,EN,night owl.,Ice Cream,"Fruit Juice,Tea,Water",1000,400,1000
